iso,Country,Population,Under-nourishment (%),HDI,Peace_index,Vegetables disponibility (kg/cap/year),Enough veg intake (> 91.25 kg/cap/year),Production,Exportations,Importations,Customs duration (h),Customs tax (%),Distance (km),Gdp/cap,"Population evolution (4y, %)",Trade balance (exp-imp),Self-sufficiency (prod-dispo),"Market growth (2y, %)"
AFG,Afghanistan,37769499,26.9,0.488,3.565,93.34,1,3862000000,494000000,774000000,48.0,8.38,5500.665,2167.70411054404,11.8980257424571,-280000000,8.91181964950077,-27.392120075046904
ZAF,South Africa,58087055,6.3,0.736,2.397,156.87,1,16684000000,2280000000,955000000,92.0,8.37,8769.679,14436.8326433486,3.956136912216269,1325000000,130.3540639502209,7.182940516273851
ALB,Albania,2854191,4.3,0.81,1.811,385.26,1,1930000000,114000000,141000000,9.0,1.47,1499.451,13973.0458402662,-0.9203309053380373,-27000000,290.93861459867264,39.603960396039604
DZA,Algeria,42705368,2.5,0.748,2.285,294.17999999999995,1,14667000000,11000000,4915000000,80.0,12.49,1233.811,12118.0045004936,7.996868433913996,-4904000000,49.26628525388196,4.864518882014082
DEU,Germany,83092962,2.5,0.948,1.545,162.57,1,18129000000,5732000000,12942000000,36.0,2.55,789.5815,55652.8874913932,1.7216419958957534,-7210000000,55.60732288806844,23.081312410841655
AGO,Angola,32353588,17.9,0.595,2.074,353.24,1,15083000000,8000000,394000000,164.0,8.65,6384.805,6881.07624117546,15.023851381347248,-386000000,112.95249772235462,-36.038961038961034
SAU,Saudi Arabia,35827362,3.9,0.873,2.178,120.47,1,2173000000,190000000,4977000000,37.0,4.54,4410.786,46852.2981650391,9.39703292668717,-4787000000,-59.81803237815835,-7.969674556213017
ARG,Argentina,44938712,3.5,0.852,1.989,125.07,1,64468000000,37543000000,111000000,21.0,12.18,10932.34,23003.2771805423,4.188879310532704,37432000000,1309.5060510448097,-41.578947368421055
ARM,Armenia,2820602,3.1,0.778,2.257,298.46000000000004,1,1132000000,56000000,118000000,26.53846,6.3,3402.57,14921.8193191784,-2.0146286643310365,-62000000,102.87276513311696,59.45945945945946
AUS,Australia,25340217,2.5,0.941,1.396,144.08,1,5894000000,1621000000,639000000,35.5,2.03,16513.02,51810.7767050001,6.399992945917229,982000000,88.51469324986442,5.098684210526316
